id,seq,ate_rmse_m,rpe_rmse_m,tracking_fps,end_to_end_fps,lost_frames,n_keyframes,n_frames,status,flags
Hb_photo,freiburg1_xyz,0.055746716556886705,0.0034573998036331595,7.953639269525425,7.10465559224509,0,339,792,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --photometric-weight 0.1"
Hb_imgn_v015,freiburg1_xyz,0.044616423183003975,0.0034903955216582174,7.854192826267754,7.043032168854484,0,381,792,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.015 --raycast-normal-mode image"
Hb_photo,freiburg1_desk,0.15094586076040664,0.009029348398314716,8.374190394088663,7.342489578033298,0,297,573,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --photometric-weight 0.1"
Hb_imgn_v015,freiburg1_desk,0.1466319938102383,0.00670314576588767,8.409660219634818,7.467328311352843,0,291,573,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.015 --raycast-normal-mode image"
Hb_imgn,freiburg1_xyz,0.044616423183003975,0.0034903955216582174,7.861450074908441,7.0257533275743915,0,381,792,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --raycast-normal-mode image"
Hb_photo_imgn,freiburg1_xyz,0.055746716556886705,0.0034573998036331595,7.921155578310217,7.102215580190631,0,339,792,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --photometric-weight 0.1 --raycast-normal-mode image"
Hb_imgn,freiburg1_desk,0.3415399330392129,0.009880822403337477,8.447815236747909,7.444182702749034,0,295,573,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --raycast-normal-mode image"
Hb_photo_imgn,freiburg1_desk,0.36977171315188406,0.010720217349575638,8.405405670362345,7.453508743854739,0,298,573,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --photometric-weight 0.1 --raycast-normal-mode image"
Hb_bf16,freiburg1_xyz,,,,,,,,fail_rc0,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --autocast bf16"
Fb_full,freiburg1_xyz,0.21504061819720705,0.0035425346613135286,7.037771665353104,6.352881676030297,0,76,792,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 0 --process-scale 1.0"
Hb_bf16,freiburg1_desk,,,,,,,,fail_rc0,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --autocast bf16"
Hb_imgn,freiburg1_room,0.9404939377905952,0.018988667590226917,11.03247586741255,9.360514746362268,471,366,1352,ok,"--slam-backend rgbdtsdf --enable-mapping --keyframe-tracking-interval 10 --feature-interval 5 --voxel-size 0.02 --raycast-normal-mode image"
