index,timestamp,rgb_file,depth_file
1315,1743437578.520533,images/frame_001315.png,depth/frame_001315.png
1316,1743437578.552100,images/frame_001316.png,depth/frame_001316.png
1317,1743437578.581629,images/frame_001317.png,depth/frame_001317.png
1318,1743437578.613563,images/frame_001318.png,depth/frame_001318.png
1319,1743437578.648516,images/frame_001319.png,depth/frame_001319.png
1320,1743437578.681739,images/frame_001320.png,depth/frame_001320.png
1321,1743437578.715917,images/frame_001321.png,depth/frame_001321.png
1322,1743437578.749589,images/frame_001322.png,depth/frame_001322.png
1323,1743437578.796307,images/frame_001323.png,depth/frame_001323.png
1324,1743437578.814633,images/frame_001324.png,depth/frame_001324.png
1325,1743437578.849277,images/frame_001325.png,depth/frame_001325.png
1326,1743437578.883031,images/frame_001326.png,depth/frame_001326.png
1327,1743437578.915736,images/frame_001327.png,depth/frame_001327.png
1328,1743437578.947510,images/frame_001328.png,depth/frame_001328.png
1329,1743437578.983039,images/frame_001329.png,depth/frame_001329.png
1330,1743437579.015618,images/frame_001330.png,depth/frame_001330.png
1331,1743437579.047891,images/frame_001331.png,depth/frame_001331.png
1332,1743437579.081974,images/frame_001332.png,depth/frame_001332.png
1333,1743437579.116308,images/frame_001333.png,depth/frame_001333.png
1334,1743437579.155748,images/frame_001334.png,depth/frame_001334.png
1335,1743437579.187189,images/frame_001335.png,depth/frame_001335.png
1336,1743437579.214732,images/frame_001336.png,depth/frame_001336.png
1337,1743437579.246091,images/frame_001337.png,depth/frame_001337.png
1338,1743437579.278951,images/frame_001338.png,depth/frame_001338.png
1339,1743437579.313423,images/frame_001339.png,depth/frame_001339.png
1340,1743437579.356092,images/frame_001340.png,depth/frame_001340.png
1341,1743437579.378831,images/frame_001341.png,depth/frame_001341.png
1342,1743437579.411231,images/frame_001342.png,depth/frame_001342.png
1343,1743437579.444890,images/frame_001343.png,depth/frame_001343.png
1344,1743437579.481203,images/frame_001344.png,depth/frame_001344.png
1345,1743437579.517123,images/frame_001345.png,depth/frame_001345.png
1346,1743437579.550411,images/frame_001346.png,depth/frame_001346.png
1347,1743437579.578392,images/frame_001347.png,depth/frame_001347.png
1348,1743437579.609474,images/frame_001348.png,depth/frame_001348.png
1349,1743437579.644207,images/frame_001349.png,depth/frame_001349.png
1350,1743437579.679608,images/frame_001350.png,depth/frame_001350.png
1351,1743437579.713067,images/frame_001351.png,depth/frame_001351.png
1352,1743437579.743108,images/frame_001352.png,depth/frame_001352.png
1353,1743437579.774437,images/frame_001353.png,depth/frame_001353.png
1354,1743437579.813772,images/frame_001354.png,depth/frame_001354.png
1355,1743437579.843849,images/frame_001355.png,depth/frame_001355.png
1356,1743437579.882860,images/frame_001356.png,depth/frame_001356.png
1357,1743437579.917112,images/frame_001357.png,depth/frame_001357.png
1358,1743437579.946319,images/frame_001358.png,depth/frame_001358.png
1359,1743437579.978188,images/frame_001359.png,depth/frame_001359.png
1360,1743437580.010991,images/frame_001360.png,depth/frame_001360.png
1361,1743437580.045679,images/frame_001361.png,depth/frame_001361.png
1362,1743437580.077435,images/frame_001362.png,depth/frame_001362.png
1363,1743437580.108608,images/frame_001363.png,depth/frame_001363.png
1364,1743437580.143529,images/frame_001364.png,depth/frame_001364.png
1365,1743437580.174518,images/frame_001365.png,depth/frame_001365.png
1366,1743437580.213655,images/frame_001366.png,depth/frame_001366.png
1367,1743437580.247046,images/frame_001367.png,depth/frame_001367.png
1368,1743437580.276095,images/frame_001368.png,depth/frame_001368.png
1369,1743437580.306813,images/frame_001369.png,depth/frame_001369.png
1370,1743437580.339285,images/frame_001370.png,depth/frame_001370.png
1371,1743437580.374471,images/frame_001371.png,depth/frame_001371.png
1372,1743437580.406144,images/frame_001372.png,depth/frame_001372.png
1373,1743437580.440297,images/frame_001373.png,depth/frame_001373.png
1374,1743437580.474255,images/frame_001374.png,depth/frame_001374.png
1375,1743437580.504129,images/frame_001375.png,depth/frame_001375.png
1376,1743437580.538869,images/frame_001376.png,depth/frame_001376.png
1377,1743437580.573230,images/frame_001377.png,depth/frame_001377.png
1378,1743437580.606350,images/frame_001378.png,depth/frame_001378.png
1379,1743437580.639396,images/frame_001379.png,depth/frame_001379.png
1380,1743437580.672467,images/frame_001380.png,depth/frame_001380.png
1381,1743437580.706730,images/frame_001381.png,depth/frame_001381.png
1382,1743437580.738790,images/frame_001382.png,depth/frame_001382.png
1383,1743437580.774170,images/frame_001383.png,depth/frame_001383.png
1384,1743437580.805846,images/frame_001384.png,depth/frame_001384.png
1385,1743437580.839688,images/frame_001385.png,depth/frame_001385.png
1386,1743437580.872130,images/frame_001386.png,depth/frame_001386.png
1387,1743437580.906527,images/frame_001387.png,depth/frame_001387.png
1388,1743437580.937014,images/frame_001388.png,depth/frame_001388.png
1389,1743437580.973180,images/frame_001389.png,depth/frame_001389.png
1390,1743437581.004283,images/frame_001390.png,depth/frame_001390.png
1391,1743437581.035820,images/frame_001391.png,depth/frame_001391.png
1392,1743437581.066795,images/frame_001392.png,depth/frame_001392.png
1393,1743437581.101929,images/frame_001393.png,depth/frame_001393.png
1394,1743437581.135127,images/frame_001394.png,depth/frame_001394.png
1395,1743437581.170646,images/frame_001395.png,depth/frame_001395.png
1396,1743437581.203084,images/frame_001396.png,depth/frame_001396.png
1397,1743437581.237425,images/frame_001397.png,depth/frame_001397.png
1398,1743437581.269818,images/frame_001398.png,depth/frame_001398.png
1399,1743437581.305326,images/frame_001399.png,depth/frame_001399.png
1400,1743437581.338092,images/frame_001400.png,depth/frame_001400.png
1401,1743437581.367528,images/frame_001401.png,depth/frame_001401.png
1402,1743437581.398254,images/frame_001402.png,depth/frame_001402.png
1403,1743437581.434296,images/frame_001403.png,depth/frame_001403.png
1404,1743437581.469590,images/frame_001404.png,depth/frame_001404.png
1405,1743437581.503492,images/frame_001405.png,depth/frame_001405.png
1406,1743437581.535309,images/frame_001406.png,depth/frame_001406.png
1407,1743437581.567151,images/frame_001407.png,depth/frame_001407.png
1408,1743437581.601657,images/frame_001408.png,depth/frame_001408.png
1409,1743437581.636674,images/frame_001409.png,depth/frame_001409.png
1410,1743437581.668572,images/frame_001410.png,depth/frame_001410.png
1411,1743437581.702134,images/frame_001411.png,depth/frame_001411.png
1412,1743437581.738039,images/frame_001412.png,depth/frame_001412.png
1413,1743437581.767300,images/frame_001413.png,depth/frame_001413.png
1414,1743437581.802222,images/frame_001414.png,depth/frame_001414.png
1415,1743437581.835183,images/frame_001415.png,depth/frame_001415.png
